t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.002000,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.003001,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.004002,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.005003,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.006004,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.007005,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.008006,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.009006,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.010006,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.011007,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.012007,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.013007,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.014007,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.015007,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.016007,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.017007,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.018008,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.019008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.020008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.021008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.022008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.023008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.024008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.025008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.026008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.027008,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.028009,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.029009,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.030009,290.9180,0.087891,0,0.0000,0.00,1,0.00
0.031009,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.032010,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.033011,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.034012,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.035013,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.036014,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.037014,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.038015,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.039016,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.040017,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.041018,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.046888,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.047889,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.048890,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.049890,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.050891,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.051892,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.052893,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.053894,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.054894,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.061853,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.062853,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.063853,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.064854,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.065855,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.066855,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.067855,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.068855,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.069856,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.070857,290.9180,0.087891,0,0.0000,0.00,1,0.00
0.071858,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.072858,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.073858,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.074858,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.075859,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.076860,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.077861,290.9180,0.087891,0,0.0000,0.00,1,0.00
0.078861,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.079861,290.7422,-0.087891,0,0.0000,0.00,1,0.00
0.080861,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.081862,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.082863,290.8301,0.000000,0,0.0000,0.00,1,0.00
0.083864,290.8301,0.000000,0,0.0000,0.00,1,0.00
