t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.054121,145.2832,-98.613281,1.305292,-0.172652,-8.718486,1.529895,1.204283,0.278486,1.305292,0.27929,1500.0,1,1500.0,-0.4499204156121772,-0.1275648441984452,-0.4499204156121772,-0.005446331133985812
0.056381,141.1523,-102.744141,1.706321,-0.168198,-9.745598,1.930924,1.47004,-0.748626,1.706321,0.545046,1500.0,1,1500.0,-0.3300639105662393,-0.1337594455021112,-0.3300639105662393,0.01977409955703791
0.058637,137.373,-106.523437,-1.130808,-0.168442,-9.549273,-0.906205,1.312023,-0.552301,-1.130808,0.387029,1500.0,1,1500.0,-0.22751940176274774,-0.13554925511515162,-0.22751940176274774,0.02879074682691786
0.060893,133.9453,-109.951172,1.632101,-0.167183,-8.324639,1.856703,1.9405,0.672333,1.632101,1.015507,1500.0,1,1500.0,-0.17925225461250924,-0.1315763872523039,-0.17925225461250924,0.015780231635662494
0.06315,130.6055,-113.291016,2.84237,-0.159298,-9.837775,3.066972,0.766145,-0.840803,2.84237,-0.158849,1500.0,1,1500.0,-0.19737274218978657,-0.12394227544235205,-0.19737274218978657,-0.010964667569355685
0.065413,127.0898,-116.806641,-1.68746,-0.158141,-9.015367,-1.462857,0.056264,-0.018394,-1.68746,-0.86873,1500.0,1,1500.0,-0.26028727328950335,-0.115134018460928,-0.26028727328950335,-0.03216214044770533
0.067668,123.9258,-119.970703,-1.683868,-0.162512,-8.160637,-1.459266,0.462081,0.836335,-1.683868,-0.462913,1500.0,1,1500.0,-0.3169371218106325,-0.10792664562730284,-0.3169371218106325,-0.029052674843137716
0.069925,120.9375,-122.958984,-1.595283,-0.165955,-9.746795,-1.37068,-0.186748,-0.749823,-1.595283,-1.111741,1500.0,1,1500.0,-0.3185144040152873,-0.10232380082260924,-0.3185144040152873,0.004561249145229754
0.07218,117.7734,-126.123047,-0.458037,-0.167878,-8.995016,-0.233435,1.514333,0.001956,-0.458037,0.589339,1500.0,1,1500.0,-0.24346663915645103,-0.09354673403941195,-0.24346663915645103,0.05799221792651195
0.07444,115.1367,-128.759766,-0.941666,-0.169004,-9.382876,-0.717063,1.747767,-0.385904,-0.941666,0.822774,1500.0,1,1500.0,-0.097607287827737,-0.07671298830636308,-0.097607287827737,0.10972721495430075
