t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.054173,50.0098,-113.378906,-5.143346,-0.167921,-9.023746,-4.897339,0.0,-0.029331,-5.143346,-0.869677,2500.0,1,2500.0,-0.9560921582482244,-0.10966741985672378,-0.9560921582482244,-0.06535445380091295
0.056435,45.4395,-117.949219,-5.891534,-0.181496,-8.76996,-5.645528,0.089783,0.224455,-5.891534,-0.779894,2500.0,1,2500.0,-0.8213277910848554,-0.06966259150157778,-0.8213277910848554,-0.042341303181413804
0.058692,40.957,-122.431641,0.693717,-0.186114,-7.885303,0.939724,0.934936,1.109112,0.693717,0.065259,2500.0,1,2500.0,-0.604459814322849,-0.028869728748329063,-0.604459814322849,-0.016150469857428705
0.060948,36.5625,-126.826172,6.717529,-0.173039,-8.596381,6.963536,2.25055,0.398034,6.717529,1.380873,2500.0,1,2500.0,-0.40310066014114687,0.001887981082888627,-0.40310066014114687,-0.0065541685590487
0.063204,31.6406,-131.748047,2.047638,-0.162561,-9.937134,2.293645,1.853112,-0.942719,2.047638,0.983435,2500.0,1,2500.0,-0.2961699070359438,0.023286997238389912,-0.2961699070359438,-0.028969557294997304
0.065463,26.9824,-136.40625,-1.116299,-0.16234,-9.074024,-0.870292,1.66397,-0.079609,-1.116299,0.794293,2500.0,1,2500.0,-0.2946724135777476,0.04028347849922354,-0.2946724135777476,-0.08185038991765452
0.067722,22.0605,-141.328125,-1.684922,-0.165784,-8.589199,-1.438915,-0.381875,0.405216,-1.684922,-1.251552,2500.0,1,2500.0,-0.3577785400455828,0.05360353401371525,-0.3577785400455828,-0.1450153422896449
0.069979,17.3145,-146.074219,-0.807447,-0.168255,-8.827422,-0.56144,-0.951695,0.166993,-0.807447,-1.821372,2500.0,1,2500.0,-0.4368801988939327,0.060439810347852424,-0.4368801988939327,-0.19215418087611075
0.072233,12.041,-151.347656,-3.597889,-0.174233,-9.421184,-3.351882,0.956484,-0.426768,-3.597889,0.086807,2500.0,1,2500.0,-0.50118642465431,0.05878402357825494,-0.50118642465431,-0.2079820361604578
0.081975,350.6836,-172.705078,1.414372,-0.160454,-8.564059,1.660379,-0.444124,0.430356,1.414372,-1.313801,2500.0,1,2500.0,-0.5447220260949578,0.047112690640753324,-0.5447220260949578,-0.19474137910944866
0.084229,345.8496,-177.539062,1.428738,-0.158408,-8.568848,1.674744,0.963666,0.425568,1.428738,0.093989,2500.0,1,2500.0,-0.576769855631678,0.02363729797579033,-0.576769855631678,-0.1679787873510456
0.086485,341.1035,-182.285156,0.115518,-0.155983,-9.14585,0.361524,1.669956,-0.151435,0.115518,0.800279,2500.0,1,2500.0,-0.5963976102201078,-0.010879272634074358,-0.5963976102201078,-0.15006694695679154
0.088741,336.5332,-186.855469,-0.882864,-0.157721,-9.52174,-0.636858,2.357092,-0.527325,-0.882864,1.487415,2500.0,1,2500.0,-0.5771524912729489,-0.052474038738876023,-0.5771524912729489,-0.1596276561338228
0.091013,331.5234,-191.865234,-1.959058,-0.161047,-9.218874,-1.713051,0.605733,-0.224459,-1.959058,-0.263944,2500.0,1,2500.0,-0.477323265207383,-0.09834397104870009,-0.477323265207383,-0.1992231750349387
0.09327,326.8652,-196.523437,-3.476982,-0.16757,-8.541314,-3.230975,-0.418985,0.453101,-3.476982,-1.288662,2500.0,1,2500.0,-0.2632873497161339,-0.14953264414418263,-0.2632873497161339,-0.25469765911662506
