t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.095527,239.6777,-8.173828,3.819601,-9.884383,-8.876503,4.079720,-0.143652,0.118290,3.819601,-1.041269,639.36,1,639.36
0.097784,238.6230,-9.228516,-2.853039,-9.887117,-8.218098,-2.592921,0.083797,0.776695,-2.853039,-0.813820,653.42,1,653.42
0.100039,237.5684,-10.283203,-0.333141,-9.891115,-8.722076,-0.073023,0.062249,0.272717,-0.333141,-0.835368,674.53,1,674.53
0.102295,236.4258,-11.425781,0.866354,-9.890907,-9.968259,1.126472,1.170765,-0.973466,0.866354,0.273148,688.61,1,688.61
0.104555,235.1953,-12.656250,-2.538201,-9.893209,-9.387665,-2.278083,1.692701,-0.392872,-2.538201,0.795084,702.69,1,702.69
0.106813,233.9648,-13.886719,-2.428068,-9.900258,-9.520543,-2.167950,1.903390,-0.525750,-2.428068,1.005774,716.79,1,716.79
0.109069,232.6465,-15.205078,2.396249,-9.896705,-8.344990,2.656367,-0.150835,0.649803,2.396249,-1.048452,737.93,1,737.93
0.111324,231.3281,-16.523437,4.209857,-9.889009,-8.937555,4.469975,0.312443,0.057238,4.209857,-0.585174,752.03,1,752.03
0.113585,230.3613,-17.490234,-0.291243,-9.885703,-8.974665,-0.031125,1.091756,0.020128,-0.291243,0.194139,766.13,1,766.13
0.115842,229.0430,-18.808594,0.253438,-9.885697,-9.179369,0.513556,2.111686,-0.184576,0.253438,1.214069,780.23,1,780.23
0.118100,227.9004,-19.951172,0.800513,-9.886063,-9.331401,1.060631,1.040281,-0.336608,0.800513,0.142664,801.38,1,801.38
0.120357,226.4941,-21.357422,-0.135620,-9.884345,-8.804677,0.124498,0.107739,0.190116,-0.135620,-0.789878,815.47,1,815.47
0.133153,218.8477,-29.003906,1.079438,-9.870533,-8.775947,1.339556,0.969652,0.218846,1.079438,0.072035,906.89,1,906.89
0.135209,217.6172,-30.234375,1.369136,-9.867717,-9.028535,1.629254,1.067814,-0.033742,1.369136,0.170197,920.92,1,920.92
0.137464,216.2988,-31.552734,-0.535451,-9.867496,-9.182961,-0.275333,1.535880,-0.188168,-0.535451,0.638264,934.93,1,934.93
0.139721,214.8926,-32.958984,0.674818,-9.866096,-9.214086,0.934936,1.079785,-0.219293,0.674818,0.182168,948.92,1,948.92
0.141991,213.4863,-34.365234,1.130913,-9.866069,-9.033323,1.391031,0.584185,-0.038530,1.130913,-0.313432,962.89,1,962.89
0.144249,211.7285,-36.123047,0.620948,-9.862909,-8.576031,0.881066,0.463278,0.418762,0.620948,-0.434339,983.82,1,983.82
0.146506,208.9160,-38.935547,-4.798327,-9.868936,-9.333796,-4.538209,0.831985,-0.339003,-4.798327,-0.065632,997.74,1,997.74
0.148762,206.0156,-41.835937,-13.465338,-9.894545,-9.099164,-13.205219,0.726640,-0.104371,-13.465338,-0.170977,1011.64,1,1011.64
0.151024,202.3242,-45.527344,-2.791986,-9.912353,-8.101978,-2.531868,-0.164003,0.892815,-2.791986,-1.061620,1032.45,1,1032.45
0.153280,199.4238,-48.427734,2.476454,-9.912335,-8.999804,2.736573,1.015141,-0.005012,2.476454,0.117525,1046.28,1,1046.28
0.155534,196.3477,-51.503906,0.334841,-9.909032,-9.293094,0.594959,1.291672,-0.298301,0.334841,0.394055,1060.09,1,1060.09
0.157788,193.2715,-54.580078,-3.246885,-9.915236,-10.059238,-2.986767,2.673126,-1.064445,-3.246885,1.775509,1073.87,1,1073.87
0.160045,189.6680,-58.183594,2.778124,-9.914368,-8.625112,3.038242,0.336385,0.369681,2.778124,-0.561231,1094.48,1,1094.48
0.162307,186.4160,-61.435547,4.126060,-9.905988,-8.328231,4.386178,-0.617704,0.666562,4.126060,-1.515321,1108.18,1,1108.18
0.164562,183.4277,-64.423828,0.811287,-9.901742,-8.729259,1.071405,0.764947,0.265533,0.811287,-0.132669,1121.84,1,1121.84
0.166816,180.1758,-67.675781,-2.295190,-9.905415,-9.233239,-2.035071,1.674744,-0.238446,-2.295190,0.777127,1135.47,1,1135.47
0.169070,176.7480,-71.103516,0.462931,-9.909019,-9.570822,0.723049,1.589750,-0.576029,0.462931,0.692133,1155.83,1,1155.83
0.171333,173.6719,-74.179687,2.153237,-9.904961,-9.361329,2.413355,0.556652,-0.366536,2.153237,-0.340965,1169.36,1,1169.36
0.173589,170.6836,-77.167969,-1.687062,-9.906601,-9.066842,-1.426944,0.835576,-0.072049,-1.687062,-0.062040,1182.85,1,1182.85
0.175845,167.2559,-80.595703,-4.208157,-9.914756,-8.582016,-3.948039,0.939724,0.412777,-4.208157,0.042107,1196.29,1,1196.29
0.178102,164.1797,-83.671875,2.077820,-9.917004,-8.933964,2.337938,0.401029,0.060829,2.077820,-0.496588,1216.37,1,1216.37
0.180362,161.1035,-86.748047,4.460051,-9.908644,-8.980651,4.720169,1.185130,0.014142,4.460051,0.287513,1229.69,1,1229.69
0.182616,158.1152,-89.736328,-0.363069,-9.906091,-9.704897,-0.102951,1.849521,-0.710104,-0.363069,0.951904,1242.96,1,1242.96
0.184873,155.1270,-92.724609,-1.139987,-9.911312,-8.692149,-0.879869,1.704672,0.302644,-1.139987,0.807055,1256.19,1,1256.19
0.187128,152.3145,-95.537109,3.844741,-9.907443,-8.617929,4.104859,-0.193930,0.376863,3.844741,-1.091547,1275.92,1,1275.92
0.189389,149.5898,-98.261719,1.049510,-9.901124,-9.544485,1.309628,-0.582988,-0.549692,1.049510,-1.480605,1289.01,1,1289.01
0.191645,146.9531,-100.898437,-3.968737,-9.907406,-9.108741,-3.708618,1.128866,-0.113948,-3.968737,0.231249,1302.04,1,1302.04
0.193899,144.1406,-103.710937,-1.062176,-9.915496,-9.002198,-0.802058,1.395820,-0.007405,-1.062176,0.498203,1315.01,1,1315.01
0.196156,141.6797,-106.171875,2.150843,-9.913444,-9.318233,2.410961,0.999579,-0.323441,2.150843,0.101962,1334.35,1,1334.35
0.198416,139.1309,-108.720703,0.571867,-9.910612,-9.179369,0.831985,0.925359,-0.184576,0.571867,0.027742,1347.16,1,1347.16
0.200671,136.6699,-111.181641,-2.776424,-9.915147,-8.889671,-2.516306,1.140837,0.105122,-2.776424,0.243220,1359.91,1,1359.91
0.202928,134.1211,-113.730469,0.473705,-9.918197,-8.908825,0.733823,0.939724,0.085968,0.473705,0.042107,1372.60,1,1372.60
0.205186,131.8359,-116.015625,1.834808,-9.915346,-9.698911,2.094927,1.346738,-0.704118,1.834808,0.449122,1391.49,1,1391.49
0.207448,129.5508,-118.300781,0.717913,-9.912600,-9.453506,0.978031,0.606930,-0.458713,0.717913,-0.290687,1403.99,1,1403.99
0.209704,127.3535,-120.498047,-1.156747,-9.914255,-8.938752,-0.896629,0.221464,0.056041,-1.156747,-0.676153,1416.43,1,1416.43
0.211961,125.1563,-122.695312,-2.007885,-9.918307,-9.060856,-1.747767,0.883460,-0.066063,-2.007885,-0.014156,1428.78,1,1428.78
0.214219,122.8711,-124.980469,-1.992323,-9.923216,-8.975863,-1.732205,1.924938,0.018930,-1.992323,1.027321,1447.17,1,1447.17
0.216911,119.0918,-128.759766,-9.039656,-9.947541,-9.405622,-8.779537,0.675165,-0.410829,-9.039656,-0.222452,1459.33,1,1459.33
0.219169,116.1035,-131.748047,-7.179361,-9.968318,-9.718064,-6.919243,0.112527,-0.723271,-7.179361,-0.785089,1477.42,1,1477.42
0.221427,113.1152,-134.736328,-2.256882,-9.977173,-8.378509,-1.996764,0.676362,0.616284,-2.256882,-0.221255,1489.37,1,1489.37
0.223682,110.3906,-137.460937,-1.993520,-9.981283,-8.671799,-1.733402,0.672771,0.322994,-1.993520,-0.224846,1501.24,1,1501.24
0.225941,107.5781,-140.273437,-2.997888,-9.988680,-9.906010,-2.737770,1.944092,-0.911217,-2.997888,1.046475,1513.01,1,1513.01
0.228196,105.0293,-142.822266,0.570670,-9.991942,-9.515755,0.830788,0.404620,-0.520962,0.570670,-0.492997,1530.51,1,1530.51
0.230453,102.3047,-145.546875,3.841149,-9.985824,-8.626308,4.101267,0.070629,0.368484,3.841149,-0.826988,1542.05,1,1542.05
0.232710,99.7559,-148.095703,1.746223,-9.979800,-8.555679,2.006341,0.708684,0.439114,1.746223,-0.188933,1553.50,1,1553.50
0.234969,97.2949,-150.556641,-2.472361,-9.983423,-9.739613,-2.212242,1.461660,-0.744820,-2.472361,0.564043,1564.86,1,1564.86
0.237226,94.6582,-153.193359,-0.631219,-9.987104,-9.181764,-0.371101,0.871489,-0.186971,-0.631219,-0.026127,1581.70,1,1581.70
0.239487,92.1973,-155.654297,-0.055414,-9.987188,-9.095572,0.204704,0.624887,-0.100780,-0.055414,-0.272730,1592.81,1,1592.81
0.241743,89.8242,-158.027344,-0.990350,-9.988464,-8.828619,-0.730232,0.881066,0.166174,-0.990350,-0.016551,1603.80,1,1603.80
0.244005,87.2754,-160.576172,-0.240965,-9.992143,-9.271546,0.019154,1.388637,-0.276753,-0.240965,0.491020,1620.10,1,1620.10
0.251573,79.1016,-168.750000,1.460116,-9.981092,-8.428787,1.720234,0.939724,0.566006,1.460116,0.042107,1657.17,1,1657.17
0.253630,76.9922,-170.859375,3.559831,-9.974082,-9.050082,3.819949,0.483629,-0.055289,3.559831,-0.413988,1667.50,1,1667.50
0.255887,74.5313,-173.320312,-1.679880,-9.973547,-9.021352,-1.419762,0.410606,-0.026559,-1.679880,-0.487011,1677.71,1,1677.71
0.258155,71.8945,-175.957031,-3.738893,-9.980108,-9.090784,-3.478775,0.985214,-0.095991,-3.738893,0.087597,1692.81,1,1692.81
0.260412,69.5215,-178.330078,-0.559393,-9.984571,-9.259575,-0.299275,1.428141,-0.264782,-0.559393,0.530524,1702.72,1,1702.72
0.262668,66.9727,-180.878906,3.130071,-9.978529,-9.311050,3.390190,0.839168,-0.316257,3.130071,-0.058449,1712.51,1,1712.51
