t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.128074,309.9902,-213.398437,7.104193,-0.320464,-7.439982,7.350199,-1.229423,1.554433,7.104193,-2.099099,0.00,1,0.00
0.130328,309.9023,-213.486328,6.297347,-0.304913,-9.483433,6.543353,-0.311246,-0.489017,6.297347,-1.180923,0.00,1,0.00
0.132582,309.9023,-213.486328,5.514443,-0.291967,-9.337387,5.760449,2.701857,-0.342972,5.514443,1.832180,0.00,1,0.00
0.134842,309.9902,-213.398437,4.944623,-0.280189,-8.726865,5.190629,2.699462,0.267550,4.944623,1.829786,0.00,1,0.00
0.137099,310.0781,-213.310547,0.187344,-0.275601,-8.202535,0.433351,0.738611,0.791881,0.187344,-0.131066,0.00,1,0.00
0.139356,310.0781,-213.310547,-3.052011,-0.278967,-8.459911,-2.806004,-0.332794,0.534504,-3.052011,-1.202471,0.00,1,0.00
0.141613,310.1660,-213.222656,-5.140952,-0.289667,-9.640253,-4.894945,0.556652,-0.645838,-5.140952,-0.313025,0.00,1,0.00
0.150691,309.9023,-213.486328,5.614999,-0.238694,-8.062474,5.861006,0.940921,0.931941,5.614999,0.071244,0.00,1,0.00
0.158325,310.0781,-213.310547,-2.161368,-0.255194,-10.234015,-1.915361,1.392228,-1.239600,-2.161368,0.522551,0.00,1,0.00
0.160382,309.9902,-213.398437,-4.672885,-0.263634,-9.940725,-4.426879,1.482011,-0.946310,-4.672885,0.612334,0.00,1,0.00
0.162636,309.9902,-213.398437,-3.220802,-0.272110,-9.210494,-2.974796,-0.264559,-0.216079,-3.220802,-1.134236,0.00,1,0.00
0.164903,309.9902,-213.398437,-0.386067,-0.275228,-8.595184,-0.140061,-0.079009,0.399231,-0.386067,-0.948685,0.00,1,0.00
0.167158,309.9023,-213.486328,0.316631,-0.275293,-8.435969,0.562637,1.018733,0.558446,0.316631,0.149056,0.00,1,0.00
0.169413,310.0781,-213.310547,1.835752,-0.273085,-9.113529,2.081758,1.890222,-0.119114,1.835752,1.020545,0.00,1,0.00
0.171669,309.9023,-213.486328,3.825333,-0.265453,-9.489418,4.071340,1.960851,-0.495003,3.825333,1.091174,0.00,1,0.00
0.173928,310.0781,-213.310547,2.688087,-0.257210,-8.945934,2.934094,1.052252,0.048481,2.688087,0.182575,0.00,1,0.00
0.176183,309.9902,-213.398437,0.283112,-0.253902,-8.674192,0.529119,-0.025139,0.320223,0.283112,-0.894816,0.00,1,0.00
0.178439,309.9902,-213.398437,-1.247980,-0.255455,-8.540117,-1.001973,0.122104,0.454298,-1.247980,-0.747572,0.00,1,0.00
0.180695,310.0781,-213.310547,-2.565988,-0.260480,-8.925584,-2.319981,0.596156,0.068831,-2.565988,-0.273521,0.00,1,0.00
0.182950,310.0781,-213.310547,-3.533246,-0.268184,-9.825804,-3.287239,1.391031,-0.831388,-3.533246,0.521354,0.00,1,0.00
0.185211,309.9023,-213.486328,-1.779493,-0.274418,-9.349358,-1.533486,1.666364,-0.354942,-1.779493,0.796688,0.00,1,0.00
0.187466,309.9902,-213.398437,0.421976,-0.275327,-9.029732,0.667982,1.028310,-0.035316,0.421976,0.158633,0.00,1,0.00
0.189721,309.9902,-213.398437,2.352899,-0.271054,-9.038112,2.598906,0.494403,-0.043696,2.352899,-0.375274,0.00,1,0.00
0.191975,309.9902,-213.398437,3.245936,-0.263670,-8.607155,3.491943,-0.003591,0.387260,3.245936,-0.873268,0.00,1,0.00
