t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.098470,50.1855,0.175781,0,0.0000,68.60,1,68.60
0.099471,50.0977,0.087891,0,0.0000,69.30,1,69.30
0.100472,50.0977,0.087891,0,0.0000,70.00,1,70.00
0.101473,50.0977,0.087891,0,0.0000,70.70,1,70.70
0.102473,50.0977,0.087891,0,0.0000,71.40,1,71.40
0.103473,50.0977,0.087891,0,0.0000,72.10,1,72.10
0.104473,50.0977,0.087891,0,0.0000,72.80,1,72.80
0.105474,50.0977,0.087891,0,0.0000,73.50,1,73.50
0.106475,50.1855,0.175781,0,0.0000,74.20,1,74.20
0.107476,50.0977,0.087891,0,0.0000,74.90,1,74.90
0.108476,50.0977,0.087891,0,0.0000,75.60,1,75.60
0.109476,50.0977,0.087891,0,0.0000,76.30,1,76.30
0.110476,50.0977,0.087891,0,0.0000,77.00,1,77.00
0.111477,50.0977,0.087891,0,0.0000,77.70,1,77.70
0.112478,50.0977,0.087891,0,0.0000,78.40,1,78.40
0.119959,50.0098,0.000000,0,0.0000,84.00,1,84.00
0.120959,50.0977,0.087891,0,0.0000,84.70,1,84.70
0.121959,50.0977,0.087891,0,0.0000,85.40,1,85.40
0.122959,50.0977,0.087891,0,0.0000,86.10,1,86.10
0.123960,50.0977,0.087891,0,0.0000,86.80,1,86.80
0.124961,50.0977,0.087891,0,0.0000,87.50,1,87.50
0.125961,50.1855,0.175781,0,0.0000,88.20,1,88.20
0.126962,50.1855,0.175781,0,0.0000,88.90,1,88.90
0.127963,50.1855,0.175781,0,0.0000,89.60,1,89.60
0.128964,50.0977,0.087891,0,0.0000,90.30,1,90.30
0.129965,50.0098,0.000000,0,0.0000,91.00,1,91.00
0.130965,50.0098,0.000000,0,0.0000,91.70,1,91.70
0.131965,50.0977,0.087891,0,0.0000,92.40,1,92.40
0.132965,50.0977,0.087891,0,0.0000,93.10,1,93.10
0.133965,50.0977,0.087891,0,0.0000,93.80,1,93.80
0.134965,50.0977,0.087891,0,0.0000,94.50,1,94.50
