t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad,v_cmd_orig,v_cmd_scaled,theta_pred_scaled,scale_seg_index,a_seg,input_rad_s_scaled,v_enc_m_s
0.64119,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,1.5216377317746283e-05
0.65125,0.0,0.0,0.0,0.0,0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00047282523451543123
0.67084,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0001692363262444658
0.68089,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.69111,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.70117,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.72075,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.73081,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.74103,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.75109,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.77068,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.78198,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00019307669006517563
0.80091,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00045735938677642866
0.81095,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006437749639150669
0.83053,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.000642061560759897
0.84059,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-1.615159698916303e-05
0.85082,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.00047365556050418773
0.86087,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.88046,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.89051,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.90074,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.91088,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.93029,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.94051,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0004898071574933401
0.95057,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-1.5216377317735624e-05
0.96079,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0004532396220106917
0.98021,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00047428767593545756
0.99021,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,2.1983273596172183e-05
1.00044,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.0004736555605041982
1.01049,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00016923632624446711
1.03008,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0004303256901676689
1.0406,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.000435369862645236
1.06039,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0002457837084546009
1.07998,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.09003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0004736555605041982
1.10026,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.0004736555605041929
1.11031,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,6.626155586382327e-20
