t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.115647,98.6133,-157.763672,221,155.3906,2000.00,1,2000.00
0.116648,97.3828,-158.994141,223,156.7969,2000.00,1,2000.00
0.117648,96.2402,-160.136719,225,158.2031,2000.00,1,2000.00
0.118648,94.9219,-161.455078,227,159.6094,2000.00,1,2000.00
0.119648,93.6035,-162.773437,229,161.0156,2000.00,1,2000.00
0.120649,92.5488,-163.828125,231,162.4219,2000.00,1,2000.00
0.121650,91.3184,-165.058594,233,163.8281,2000.00,1,2000.00
0.122651,90.0000,-166.376953,235,165.2344,2000.00,1,2000.00
0.123652,88.9453,-167.431641,237,166.6406,2000.00,1,2000.00
0.124652,87.7148,-168.662109,238,167.3437,2000.00,1,2000.00
0.125652,86.4844,-169.892578,240,168.7500,2000.00,1,2000.00
0.132790,77.9590,-178.417969,254,178.5937,2000.00,1,2000.00
0.133790,76.7285,-179.648437,256,180.0000,2000.00,1,2000.00
0.135883,74.2676,-182.109375,260,182.8125,2000.00,1,2000.00
0.136883,73.2129,-183.164062,262,184.2187,2000.00,1,2000.00
0.137884,71.9824,-184.394531,264,185.6250,2000.00,1,2000.00
0.138885,70.8398,-185.537109,266,187.0312,2000.00,1,2000.00
0.139886,69.6094,-186.767578,268,188.4375,2000.00,1,2000.00
0.140887,68.3789,-187.998047,270,189.8437,2000.00,1,2000.00
0.141887,67.2363,-189.140625,272,191.2500,2000.00,1,2000.00
0.142887,66.0059,-190.371094,274,192.6562,2000.00,1,2000.00
0.143887,64.7754,-191.601562,275,193.3594,2000.00,1,2000.00
0.144887,63.8086,-192.568359,277,194.7656,2000.00,1,2000.00
0.145887,62.5781,-193.798828,279,196.1719,2000.00,1,2000.00
0.146887,61.0840,-195.292969,281,197.5781,2000.00,1,2000.00
0.147887,59.9414,-196.435547,283,198.9844,2000.00,1,2000.00
0.148888,58.7988,-197.578125,285,200.3906,2000.00,1,2000.00
0.149889,57.7441,-198.632812,287,201.7969,2000.00,1,2000.00
0.150889,56.5137,-199.863281,289,203.2031,2000.00,1,2000.00
0.151889,55.2832,-201.093750,291,204.6094,2000.00,1,2000.00
0.152889,54.2285,-202.148437,293,206.0156,2000.00,1,2000.00
