t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
1.46754,-5.215043804959057,-0.005818966967339822,-6.832883455817302e-05,-0.06832883455817301,-0.13192943815825137
1.47777,-5.215043804959057,-0.006678363701056083,-8.198909713198588e-05,-0.08198909713198588,-0.21015509523263723
1.48804,-5.215043804959057,-0.006724248846954362,-9.06282796741243e-05,-0.0906282796741243,-0.282254646632523
1.50797,-5.215043804959057,-0.007242002710719973,-0.00014097683621926404,-0.14097683621926405,-0.44331363000655966
1.52756,-5.215043804959057,-0.007745968221506169,-0.0001756322122071419,-0.1756322122071419,-0.5921204020315963
1.53761,-5.215043804959057,-0.007437064168632542,-0.00023446007113604153,-0.23446007113604153,-0.6718819488477371
1.54785,-5.215043804959057,-0.007464209413046854,-0.0003252765519328716,-0.3252765519328716,-0.7470532797311328
1.55789,-5.215043804959057,-0.007287226782521661,-0.00037780459191512036,-0.37780459191512034,-0.8252789368055187
1.57748,-5.215043804959057,-0.006075828790559256,-0.0005408937583339074,-0.5408937583339074,-0.9771400350215453
1.58754,-5.215043804959057,-0.007015273291409392,-0.000609676156167893,-0.6096761561678931,-1.052311365904941
1.59776,-5.215043804959057,-0.007345808109076019,-0.0006833759877385108,-0.6833759877385108,-1.130537022979327
1.60781,-5.215043804959057,-0.007681000279339341,-0.0007685079392168673,-0.7685079392168673,-1.2072442436044777
1.61849,-5.215043804959057,-0.007752531814304907,-0.0008625890184619562,-0.8625890184619562,-1.2885416801623737
1.63727,-5.215043804959057,-0.007323912772904137,-0.000986570392922399,-0.986570392922399,-1.4358125624456552
1.64732,-5.215043804959057,-0.007971229126223766,-0.0010710950108031875,-1.0710950108031876,-1.514038219520041
1.65755,-5.215043804959057,-0.007997318825648272,-0.0011674259435508398,-1.1674259435508398,-1.595335656077937
1.6676,-5.215043804959057,-0.008341708904767351,-0.0012759876101638785,-1.2759876101638785,-1.6735787664448425
1.68719,-5.215043804959057,-0.00827152185066321,-0.0014375977184891814,-1.4375977184891815,-1.8254398646608694
1.69724,-5.215043804959057,-0.007827076806730764,-0.0015489527775829452,-1.5489527775829453,-1.9098090807022752
1.70748,-5.215043804959057,-0.008433887055729759,-0.0016748915017076042,-1.6748915017076043,-1.9880347377766612
1.71752,-5.215043804959057,-0.008317367176022522,-0.0017487407539803546,-1.7487407539803546,-2.0708680640763117
1.73711,-5.215043804959057,-0.008434428843926648,-0.0019164099799379563,-1.9164099799379564,-2.230408611001114
1.74718,-5.215043804959057,-0.00938705349747205,-0.002019184946811208,-2.0191849468112077,-2.3086342680754997
1.75739,-5.215043804959057,-0.0095148105526296,-0.0020824210791488412,-2.0824210791488413,-2.3930034841169054
1.76744,-5.215043804959057,-0.009891800794253103,-0.002151452675027677,-2.151452675027677,-2.474318373967321
1.78703,-4.618141200776996,-0.01046871408549079,-0.002345463600523447,-2.345463600523447,-2.6338414675996025
1.79708,-4.618141200776996,-0.01040177809763233,-0.0024461387430872515,-2.4461387430872517,-2.7182106836410087
1.80733,-4.618141200776996,-0.010340990723244766,-0.0025569683448652975,-2.5569683448652976,-2.7964537940079146
1.81736,-4.618141200776996,-0.009663990155300548,-0.0026180269057387677,-2.6180269057387675,-2.8838773362403107
1.83695,-4.618141200776996,-0.00891224459746643,-0.0028300890500802525,-2.8300890500802525,-3.0418819934233574
1.84701,-4.618141200776996,-0.009067450928541887,-0.0029073029474912014,-2.9073029474912016,-3.121643540239498
1.85723,-4.618141200776996,-0.009270834037478876,-0.0030052990516714435,-3.0052990516714435,-3.2090845357644135
1.86744,-4.618141200776996,-0.009723539169816409,-0.0031312295496027545,-3.1312295496027547,-3.28425586664781
1.88695,-4.618141200776996,-0.009960555523951134,-0.0033084148410690946,-3.3084148410690943,-3.4468507397636015
1.897,-4.618141200776996,-0.010107034795191948,-0.003393758274454907,-3.393758274454907,-3.5296840660632522
1.90723,-4.618141200776996,-0.010662513482147643,-0.0035039705821673923,-3.5039705821673923,-3.6094630661719127
1.91728,-4.618141200776996,-0.010410021143159955,-0.003567423886534717,-3.567423886534717,-3.6953681719550744
1.93687,2.1834068942449063,-0.009602222665752528,-0.003739823213750014,-3.739823213750014,-3.8487651599128556
1.94692,2.1834068942449063,-0.009102225368996013,-0.0038645649361938325,-3.8645649361938323,-3.8472292701711006
1.95716,2.1834068942449063,-0.007872114979033184,-0.004002260028425001,-4.002260028425001,-3.845693380429346
1.9672,2.1834068942449063,-0.007281512668339972,-0.004080374641646603,-4.080374641646603,-3.8441574906875906
1.98679,2.1834068942449063,-0.004954203197429364,-0.004255576615655289,-4.255576615655289,-3.845693380429346
2.00104,2.1834068942449063,-0.0048105418965747855,-0.004408011417680322,-4.408011417680322,-3.8441574906875906
2.01669,2.1834068942449063,-0.004069272835882579,-0.004546102782829094,-4.546102782829094,-3.8441574906875906
2.02674,2.1834068942449063,-0.004444020539648193,-0.0046720497335860835,-4.672049733586084,-3.8441574906875906
2.03697,2.1834068942449063,-0.004654523016554756,-0.004828670154814661,-4.828670154814661,-3.8441574906875906
2.04702,2.1834068942449063,-0.004483724654993885,-0.004921109804945806,-4.921109804945806,-3.8441574906875906
2.06661,2.1834068942449063,-0.004124339243684642,-0.005032699320479522,-5.032699320479522,-3.8441574906875906
2.07666,2.1834068942449063,-0.003881207227717177,-0.0050498041533023515,-5.049804153302351,-3.8441574906875906
2.08689,2.1834068942449063,-0.0036431738880311915,-0.004999565000473012,-4.999565000473012,-3.8441574906875906
2.09696,2.1834068942449063,-0.003116782775095162,-0.0049658913089778,-4.9658913089778,-3.8441574906875906
2.11653,2.1834068942449063,-0.0026111749246970468,-0.00495751590851934,-4.95751590851934,-3.8441574906875906
2.1268,2.1834068942449063,-0.002040553047368188,-0.0049344041401563525,-4.934404140156353,-3.8441574906875906
2.14647,2.1834068942449063,-0.001684740108564314,-0.004927846494021954,-4.927846494021954,-3.8441574906875906
2.15668,2.1834068942449063,-0.0012311802799172013,-0.004911570813974812,-4.911570813974811,-3.8441574906875906
2.16673,2.1834068942449063,-0.00097879088948865,-0.00490016530461537,-4.90016530461537,-3.845693380429346
2.18632,2.1834068942449063,-0.0007205337038425717,-0.004895889043091054,-4.895889043091054,-3.845693380429346
2.19638,2.1834068942449063,-0.0004812335252372766,-0.004887758858579831,-4.887758858579831,-3.8441574906875906
2.2066,2.1834068942449063,-0.0002757599268723934,-0.004881666982186347,-4.8816669821863465,-3.8441574906875906
2.21666,2.1834068942449063,-0.00011167987548841725,-0.004876994996207123,-4.876994996207123,-3.8441574906875906
2.23624,-5.709844647899449,-0.006897608906813464,-0.0049545508143283845,-4.9545508143283845,-3.923919037503732
2.24629,-5.709844647899449,-0.008716161544550089,-0.004972609649877535,-4.972609649877535,-4.003698037612392
2.28443,-5.709844647899449,-0.01459494105190398,-0.005264877128125157,-5.264877128125157,-4.3181540089442105
2.29653,-5.709844647899449,-0.013780224841758407,-0.005206291416393128,-5.206291416393128,-4.397915555760352
2.31611,-5.709844647899449,-0.013645686765690305,-0.005231405085126073,-5.231405085126073,-4.551312543718133
2.32617,-5.709844647899449,-0.013425049459553223,-0.005167197356780371,-5.167197356780371,-4.631091543826794
2.33639,-5.709844647899449,-0.013004212451412072,-0.005152156024597416,-5.152156024597416,-4.707781311159424
2.34645,-5.709844647899449,-0.01241978984642909,-0.005217635478401475,-5.2176354784014745,-4.790614637459076
2.36603,-5.709844647899449,-0.012662980565244529,-0.005419912256248315,-5.419912256248315,-4.939421409484112
2.37609,-5.709844647899449,-0.012818927347198701,-0.005529348847008257,-5.529348847008257,-5.0176470665584985
2.38633,-5.709844647899449,-0.013075289465102004,-0.005662385523256807,-5.662385523256806,-5.095890176925404
2.39637,-5.709844647899449,-0.013009802571950155,-0.005740244001225777,-5.7402440012257765,-5.177187613483299
2.41595,2.6860617188192735,-0.008500291720599766,-0.005917459783932505,-5.917459783932505,-5.206334611991605
2.42601,2.6860617188192735,-0.007414850128277477,-0.006018234007017751,-6.0182340070177505,-5.20479872224985
2.43625,2.6860617188192735,-0.007181584806566709,-0.006137526336810795,-6.1375263368107955,-5.20479872224985
2.44629,2.6860617188192735,-0.006771883715401205,-0.006205771905136655,-6.205771905136656,-5.20479872224985
2.46587,2.6860617188192735,-0.006543490317766682,-0.0064859539382878945,-6.485953938287895,-5.20479872224985
2.47593,2.6860617188192735,-0.006408031736355542,-0.006660464244184636,-6.660464244184635,-5.20479872224985
2.48615,2.6860617188192735,-0.006475492288192045,-0.006830614455659921,-6.830614455659921,-5.20479872224985
2.49622,2.6860617188192735,-0.006427011258790979,-0.006931828865859514,-6.931828865859514,-5.20479872224985
2.51579,2.6860617188192735,-0.006129869064697081,-0.007025702432511327,-7.025702432511327,-5.206334611991605
2.52585,2.6860617188192735,-0.006035906270099252,-0.007046482380191062,-7.046482380191063,-5.20479872224985
2.5362,2.6860617188192735,-0.005472054268256543,-0.007056499075558456,-7.056499075558456,-5.206334611991605
2.55589,2.6860617188192735,-0.005303704489035129,-0.007091185600606481,-7.091185600606481,-5.20479872224985
2.56594,2.6860617188192735,-0.004737320645381878,-0.007077905594293487,-7.077905594293487,-5.20479872224985
2.57616,2.6860617188192735,-0.004250364527661406,-0.007067434782297657,-7.067434782297657,-5.206334611991605
2.59558,2.6860617188192735,-0.0035299859453902685,-0.007076220456052228,-7.076220456052228,-5.20479872224985
2.60581,2.6860617188192735,-0.003081955738820332,-0.007059277508394162,-7.059277508394162,-5.20479872224985
2.61586,-0.958185759344887,-0.0026559231562184294,-0.00704620991210644,-7.04620991210644,-5.20479872224985
2.6261,-0.958185759344887,-0.0022794627818470675,-0.007036359157033479,-7.036359157033479,-5.206334611991605
2.6455,-0.958185759344887,-0.0020160735017345547,-0.007039910780218223,-7.039910780218223,-5.20479872224985
2.65573,-0.958185759344887,-0.0017957763624001995,-0.007029597133881293,-7.029597133881293,-5.20479872224985
2.66587,-0.958185759344887,-0.0017619413632968806,-0.0070231061220210195,-7.023106122021019,-5.20479872224985
2.67592,-0.958185759344887,-0.0016759262904014968,-0.007018597699181679,-7.018597699181679,-5.20479872224985
2.69551,-0.958185759344887,-0.001754639537249719,-0.007026410843067787,-7.0264108430677865,-5.20479872224985
2.70556,-0.958185759344887,-0.001596994646959054,-0.007020104573999781,-7.020104573999781,-5.206334611991605
2.71579,-0.958185759344887,-0.001437019393102256,-0.007015511359872676,-7.015511359872677,-5.206334611991605
2.72584,-0.958185759344887,-0.0013473165172263352,-0.007012059324960426,-7.0120593249604255,-5.206334611991605
2.74544,-0.958185759344887,-0.001176776471803444,-0.00701570267672261,-7.01570267672261,-5.206334611991605
2.75548,-0.958185759344887,-0.001076900157646029,-0.0070105370430211715,-7.010537043021172,-5.20479872224985
2.76571,-0.958185759344887,-0.0009505203527205263,-0.007006784710175648,-7.006784710175648,-5.20479872224985
2.77576,-0.958185759344887,-0.0008551973808827804,-0.007003855856750058,-7.003855856750058,-5.20479872224985
2.78619,-0.958185759344887,-0.0009008144618611486,-0.007002579001390308,-7.002579001390308,-5.20479872224985
2.80514,-0.958185759344887,-0.001117212145235248,-0.0070088782933634556,-7.0088782933634555,-5.20479872224985
2.81518,-0.958185759344887,-0.001167868263734646,-0.0070069904048767565,-7.006990404876756,-5.206334611991605
2.8254,-0.958185759344887,-0.0011243899177889067,-0.007005717192339882,-7.0057171923398815,-5.20479872224985
2.83545,-0.958185759344887,-0.0010297699894443223,-0.007004268018878224,-7.004268018878224,-5.206334611991605
2.84568,-0.958185759344887,-0.0009633452013389849,-0.0070031020146107,-7.0031020146106995,-5.206334611991605
2.86509,-0.958185759344887,-0.0009713014096886493,-0.007007801175421599,-7.0078011754216,-5.20479872224985
2.87532,-0.958185759344887,-0.0009291374795588772,-0.007005011941540438,-7.005011941540438,-5.20479872224985
2.88538,-0.958185759344887,-0.0009264925254486752,-0.007003227664245817,-7.003227664245817,-5.20479872224985
2.8956,-0.958185759344887,-0.0009255477533315297,-0.007002240247808865,-7.0022402478088654,-5.20479872224985
2.90563,-1.0210176124166828,-0.000904938580609925,-0.007001418259501376,-7.001418259501376,-5.20479872224985
2.92491,-1.0210176124166828,-0.000952740955684606,-0.007006500453514131,-7.006500453514131,-5.20479872224985
2.93514,-1.0210176124166828,-0.0008940190709552454,-0.007004015951603948,-7.004015951603948,-5.20479872224985
2.94519,-1.0210176124166828,-0.0008767062272940283,-0.007002324299950898,-7.002324299950899,-5.20479872224985
2.95542,-1.0210176124166828,-0.0008255878154037326,-0.007001090228419433,-7.001090228419433,-5.20479872224985
2.96547,-1.0210176124166828,-0.0008151180972976637,-0.007000197489616311,-7.000197489616311,-5.20479872224985
2.98506,-1.0210176124166828,-0.0008388641634562694,-0.007004606693584998,-7.004606693584997,-5.206334611991605
2.99511,-1.0210176124166828,-0.0008089768105449497,-0.007002270336756531,-7.002270336756531,-5.20479872224985
3.00534,-1.0210176124166828,-0.000746217340329555,-0.007000570674526807,-7.0005706745268075,-5.20479872224985
3.01539,-1.0210176124166828,-0.0006532346697308989,-0.0069989096002125075,-6.9989096002125075,-5.20479872224985
3.03489,-1.0210176124166828,-0.0005873855049437773,-0.007000846360973293,-7.000846360973293,-5.20479872224985
3.04512,3.8248890557455733,-0.0004547151652885001,-0.006997927048706463,-6.997927048706463,-5.20479872224985
3.05517,3.8248890557455733,-0.00037279271219395284,-0.006995632359716353,-6.995632359716353,-5.20479872224985
3.07476,3.8248890557455733,-0.0002644613168629296,-0.0069951160845861645,-6.995116084586164,-5.206334611991605
3.08481,3.8248890557455733,-0.00025583424861094355,-0.006993240521708769,-6.993240521708769,-5.20479872224985
