t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.03246,255.762,0.000,0,0.000,0.004,0.007,0.008,0.004,0.010,0.0,1,0.0,0.011,0.00,0.00,0.00,0.00,0.000.00
0.05205,255.762,0.000,0,0.000,0.005,0.007,0.002,0.005,0.010,0.0,1,0.0,0.023,0.00,0.00,0.00,0.00,0.000.00
0.06211,255.762,0.000,0,0.000,0.004,0.007,0.002,0.004,0.008,0.0,1,0.0,0.034,0.00,0.00,0.00,0.00,0.000.00
0.07233,255.850,0.088,0,0.000,0.004,0.008,0.008,0.004,0.007,0.0,1,0.0,0.046,0.00,0.00,0.00,0.00,0.000.00
0.09176,255.850,0.088,0,0.000,0.005,0.008,0.007,0.005,0.014,0.0,1,0.0,0.070,0.00,0.00,0.00,0.00,0.000.00
0.10197,255.762,0.000,0,0.000,0.007,0.008,0.005,0.007,0.016,0.0,1,0.0,0.070,0.00,0.00,0.00,0.00,0.000.00
0.11203,255.850,0.088,0,0.000,0.007,0.008,0.006,0.007,0.016,0.0,1,0.0,0.087,0.00,0.00,0.00,0.00,0.000.00
0.12225,255.762,0.000,0,0.000,0.008,0.008,0.004,0.008,0.018,0.0,1,0.0,0.087,0.00,0.00,0.00,0.00,0.000.00
0.14166,255.762,0.000,0,0.000,0.005,0.008,0.004,0.005,0.016,0.0,1,0.0,0.119,0.00,0.00,0.00,0.00,0.000.00
0.15191,255.762,0.000,0,0.000,0.007,0.008,0.001,0.007,0.015,0.0,1,0.0,0.134,0.00,0.00,0.00,0.00,0.000.00
0.16195,255.850,0.088,0,0.000,0.003,0.008,0.004,0.003,0.013,0.0,1,0.0,0.144,0.00,0.00,0.00,0.00,0.000.00
0.17217,255.762,0.000,0,0.000,0.005,0.008,0.004,0.005,0.013,0.0,1,0.0,0.144,0.00,0.00,0.00,0.00,0.000.00
0.19159,255.762,0.000,0,0.000,0.007,0.008,0.005,0.007,0.010,0.0,1,0.0,0.171,0.00,0.00,0.00,0.00,0.000.00
0.20181,255.762,0.000,0,0.000,0.005,0.008,0.005,0.005,0.011,0.0,1,0.0,0.181,0.00,0.00,0.00,0.00,0.000.00
0.21187,255.762,0.000,0,0.000,0.005,0.008,0.006,0.005,0.012,0.0,1,0.0,0.181,0.00,0.00,0.00,0.00,0.000.00
0.22209,255.762,0.000,0,0.000,0.003,0.008,0.006,0.003,0.009,0.0,1,0.0,0.196,0.00,0.00,0.00,0.00,0.000.00
0.24150,255.850,0.088,0,0.000,0.003,0.008,0.008,0.003,0.014,0.0,1,0.0,0.219,0.00,0.00,0.00,0.00,0.000.00
0.25173,255.762,0.000,0,0.000,0.004,0.008,0.010,0.004,0.014,0.0,1,0.0,0.219,0.00,0.00,0.00,0.00,0.000.00
0.26220,255.762,0.000,0,0.000,0.005,0.008,0.010,0.005,0.014,0.0,1,0.0,0.233,0.00,0.00,0.00,0.00,0.000.00
